     1→     1→# 26 — Narrative Spine
     2→     2→
     3→     3→**Status:** Canonical. This document specifies the narrative spine that makes the bible a game, not just a simulation. All subsequent narrative content must comply.
     4→     4→**Date:** 2026-08-03
     5→     5→
     6→     6→---
     7→     7→
     8→     8→## 0. What this document is and why it exists
     9→     9→
    10→    10→The critics identified this as the single highest-leverage missing piece: "the team has an engine and a village but no game." The prior corpus (docs 00-24) specified the cosmology, the soul model, the realm ladder, the substrate, the phenomenology, the engine, the economy, the combat grammar, the sect institutions, the grotto-heavens, the Precelestial and tribulation, the AI interaction layer, the GUI, and the reconciliation. What it did not specify was the game: the thing the player does, the reason they do it, the person who opposes them, the way it ends.
    11→    11→
    12→    12→The doctrine (AGENTS.md Part 3) says: "Design for joy first; the system serves the experience. Before any ontology, before any contract, before any test architecture, answer: what does the player do in the first hour, and why do they want a second hour? Session 1, session 10, session 100. The first verb. The first awe. The first failure that teaches. The loop. The thing you tell a friend. If this cannot be written, no amount of system rigor will save the project."
    13→    13→
    14→    14→This document answers. It commits. It names the protagonist's want, the antagonist's name, the three acts, the session beats, the loop, the endings, the companions, the romance, the side content, and Old Chen's death. Every fork is closed. If a decision is wrong, the prototype will say so — but no decision is worse than a wrong decision multiplied by every fork that depends on it.
    15→    15→
    16→    16→The protagonist's surname is Wang (王). The given name is player-chosen. The protagonist is 16 at game start, in the autumn of the Jianhe 31 year, in Wang Family Bend, in the Cangli Riverlands, in the Great Yan Dynasty. The protagonist's advantage is Residual Error Sense (遺錯之覺, yicuo zhi jue — doc 00 §5). Everything below follows from this.
    17→    17→
    18→    18→---
    19→    19→
    20→    20→## 1. The elevator pitch
    21→    21→
    22→    22→**One sentence:** You are the second child of a Wang lineage farmer in a wet-rice village at the edge of a declining empire; you perceive qi, you leave to cultivate, and the longer you live the more the village you left ages without you — until the grief of being absent becomes the central problem of your long life, and you must decide whether to retrieve the dead (the crime), to let them go (the teaching), or to rewrite the law that took them (the cost is everything).
    23→    23→
    24→    24→That is the game. Everything else is implementation.
    25→    25→
    26→    26→---
    27→    27→
    28→    28→## 2. The central conflict
    29→    29→
    30→    30→The genre tension (power acceleration vs. forbiddance) is confronted at the cosmology level (doc 00 §1: the cosmos is finite, qi-stratified, not regenerating; tribulation is lawful, not moral; no cultivator can own the Dao). The character tension is **personal**.
    31→    31→
    32→    32→### 2.1 What the protagonist wants
    33→    33→
    34→    34→The protagonist wants **Wang Xiaodi back**.
    35→    35→
    36→    36→Wang Xiaodi (王小弟, the protagonist's younger brother) died of fever at age 7, two years before game start, while the protagonist was studying with Old Chen at Li Family Creek and did not return in time (doc 24 §4.4). The protagonist carries the guilt of absence. This guilt is the engine of Scene 4 (the failed breakthrough — doc 06 Scene 4) and the engine of the entire game.
    37→    37→
    38→    38→The want is not initially conscious. At game start (age 16), the protagonist has not named it. The first 100 sessions (Act 1) are about the protagonist learning to perceive qi, learning to cultivate, and failing to integrate because the grief is unprocessed. Scene 5 (the successful Foundation Establishment) requires the protagonist to mourn Wang Xiaodi first (doc 06 Scene 5: "the player must mourn the sibling... resolving the grief and preparing the player for a later, successful attempt"). Mourning is not retrieval. The protagonist learns, by Scene 5, that Wang Xiaodi is gone and that cultivation cannot undo it.
    39→    39→
    40→    40→But the want persists, beneath the mourning. At Core Formation (session ~500), the protagonist can perceive spirit anchors (doc 03 Station 5). The first anchor they seek is Wang Xiaodi's. They do not find it in bardo (the bardo window has long closed). They do not find it in the lineage hall's residue (it is too faint). They conclude, provisionally, that Wang Xiaodi's anchor has dispersed (final death, 寂滅) or has been reborn into a new body they cannot locate.
    41→    41→
    42→    42→Then the antagonist is revealed, and the want becomes a crisis.
    43→    43→
    44→    44→### 2.2 What opposes them
    45→    45→
    46→    46→**The law of the cosmos.** Doc 00 §2: "Final death (寂滅) occurs when the anchor is dispersed — a lawful outcome of certain high-realm conflicts, certain tribulations, or the natural expiry of the bardo window. A dispersed anchor cannot be recovered by any means." The bardo window is bounded and lawful. Wang Xiaodi's window has closed. The law says: the anchor is gone, either dispersed or reborn, and either way it is not retrievable.
    47→    47→
    48→    48→The protagonist's want (retrieve Wang Xiaodi) is forbidden by law. This is the character-level confrontation of the genre tension: the protagonist wants the one thing cultivation cannot give. The antagonist (§3) is the one who breaks the law to take it anyway.
    49→    49→
    50→    50→### 2.3 The secondary conflicts
    51→    51→
    52→    52→- **Political (secondary):** The Azure Sword Sect (碧劍宗), under Core Formation sect master Leng Wushuang (冷無霜, 340), is quietly expanding toward the Cangli Riverlands to claim the latent spirit vein beneath the Cangwu Mountains (doc 24 §4.3). This threatens Wang Family Bend — not by eviction, but by the slow absorption of the region's qi into the sect's grotto-heaven, which would thin the ambient qi the village's future cultivators (if any) would need. Leng Qingxue (冷清雪, Leng Wushuang's daughter, Core Formation, ~120), the protagonist's romance option (§10), opposes her mother's expansion. This conflict is the political backdrop of Act 2 and the source of the protagonist's first sect-level dilemma.
    53→    53→- **Cosmological (secondary):** The Courts of Heaven (天庭) are not omnipotent and can be corrupt (doc 00 §1: "They can be wrong, corrupt, or contested"). A minor Precelestial official, **Scribe Yan** (閻, a record-keeper of the dead), has been accepting bribes to delay bardo dispersals and sell "extended window" anchors to demonic cultivators. This is the cosmological enabler of the antagonist. The "transcend" path (§4 Act 3) targets this corruption: the protagonist authors a law that closes the bardo-harvest loophole.
    54→    54→
    55→    55→### 2.4 Why personal is primary
    56→    56→
    57→    57→The doctrine says "confront the central tension directly." The genre's central tension is power acceleration. The character-level confrontation is: the protagonist wants the one thing that would require breaking the law (retrieving a past-the-window anchor), and the antagonist is the one who does break it. The personal grief is the engine that makes the cosmological law feel like a stake rather than a rule. Without the personal, the law is abstract; with the personal, every lawful boundary the protagonist respects is a fresh grief. This is the game's central dramatic mechanism.
    58→    58→
    59→    59→---
    60→    60→
    61→    61→## 3. The antagonist
    62→    62→
    63→    63→### 3.1 The antagonist is Pei Liang (裴良)
    64→    64→
    65→    65→**Realm at introduction (session ~200):** Nascent Soul (元嬰), ~180 years old, appears ~35.
    66→    66→**Realm at final confrontation (session ~1500+):** Spirit Severance (化神), ~400 years old, appears ~40.
    67→    67→
    68→    68→Pei Liang is the third-generation inheritor of Zhou Wugui's (周無咎) demonic-cultivation technique. Zhou Wugui's incursion was 95 years ago (doc 24 §4.4); he was killed by the Azure Sword Sect's previous sect master. But Zhou Wugui had a last disciple, who survived, and taught the technique to a student, who taught it to Pei Liang. Pei Liang is the third link. He never met Zhou Wugui. He inherited the technique as one inherits a family craft — practiced, refined, and scaled.
    69→    69→
